"[Info]"
"Product";"Version";"Host";"Timestamp";"Author";"Connection";"Application"
"FngArchiv";"5.0.0";"CTPC06603";"2020-10-30 11:10:18";Manager;"CTPC06603";"Control"
"AdysTech.InfluxDB.Client.Net";"0.6.9.0"
2020-10-29 06:24:38;1.85682301134259;1899-12-31 19:22:02;17300;"";"";"";"";17.5753565832138;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.991;"";"";"";"";"";"";"";"";"";"";-0.170082926750183;"";"";304.551329949221;"";"";264.082089594338;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:25:08;1.85717040084144;1899-12-31 19:22:32;"";"";"";"";30;17.4118649484634;12.1380907773972;12.0000002975464;12;6.0000005364418;6;0;0;6.0000005364418;6;"";"";"";"";"";"";"";"";"";"";"";"";0;0;"";"";1000.00018310547;1000;0.885;23.89;"";"";"";"";"";"";8.80000019073486;"";"";"";-0.224376976490021;30.0014762878418;30;"";"";"";"";15.4433822631836;"";"";"";"";"";40.4692403548833;"";"";"";21;21
2020-10-29 06:25:38;1.85751779034028;1899-12-31 19:23:02;"";"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.958;"";"";"";"";0;"";"";"";"";"";-0.491122245788574;"";"";304.650858132953;"";45.2184944152832;264.18161777807;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:26:09;1.85786517983912;1899-12-31 19:23:32;"";"";"";82.5846557617188;"";17.5753565832138;"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.118;"";"";"";"";"";8.76662826538086;"";"";"";"";-0.217447817325592;"";"";304.70148022648;"";"";264.232239871596;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:26:39;1.85821256933796;1899-12-31 19:24:02;"";"";"";"";"";17.3846168299675;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.046;"";"";"";"";"";"";"";"";"";"";-0.349709689617157;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:27:09;1.85855995883796;1899-12-31 19:24:32;"";"";0;"";"";17.275621432209;"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";24.092;"";"";"";"";"";"";"";0;0;0;-0.662199914455414;"";"";"";2908.66187667847;"";"";"";0;0;0;0;0;"";0;0;0;"";""
2020-10-29 06:27:39;1.85890734833681;1899-12-31 19:25:02;17300;"";"";"";"";17.2483733137131;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.811;"";"";"";"";"";"";"";"";"";"";-0.141533315181732;"";"";304.850772501995;"";"";264.381532147112;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:28:09;1.85925473783565;1899-12-31 19:25:32;17295;4070;"";"";"";17.3846168299675;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.911;"";"";"";"";"";"";"";"";"";"";-0.277390897274017;"";"";304.901394595521;"";"";264.432154240638;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:28:39;1.85960212733449;1899-12-31 19:26:02;17295;"";"";"";"";17.4663626473427;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.027;"";"";"";"";"";"";"";"";"";"";-0.333918809890747;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:29:09;1.85994951683333;1899-12-31 19:26:32;17300;"";"";"";"";17.3846168299675;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.146;"";"";"";"";"";"";"";"";"";"";-0.504105627536774;"";"";305.000922779087;"";"";264.531682424204;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:29:39;1.86029690633218;1899-12-31 19:27:02;17300;"";"";"";30;17.6843519809723;12.1327551641464;12.0000002975464;12;6.0000005364418;6;0;0;6.0000005364418;6;"";"";"";"";"";"";"";"";"";"";"";"";0;0;"";"";1000.08245849609;1000;0.89;24.022;"";"";"";"";"";"";8.80000019073486;"";"";"";-0.368575841188431;30.0014762878418;30;305.051544872613;"";"";264.58230451773;15.4433822631836;"";"";"";"";"";40.4692403548833;"";"";"";21;21
2020-10-29 06:30:09;1.86064429583218;1899-12-31 19:27:32;17295;"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.076;"";"";"";"";0;"";"";"";"";"";-0.243192806839943;"";"";"";"";45.2184944152832;"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:30:39;1.86099168533102;1899-12-31 19:28:02;17300;"";"";82.6434478759766;"";17.5753565832138;"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.063;"";"";"";"";"";8.76340389251709;"";"";"";"";-0.465484380722046;"";"";305.151099056348;"";"";264.681858701465;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:31:09;1.86133907482986;1899-12-31 19:28:32;17295;"";"";"";"";17.3846168299675;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.067;"";"";"";"";"";"";"";"";"";"";-0.397276312112808;"";"";305.201721149708;"";"";264.732480794824;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:31:39;1.8616864643287;1899-12-31 19:29:02;17300;"";0;"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";23.964;"";"";"";"";"";"";"";0;0;0;-0.28462615609169;"";"";"";2908.66187667847;"";"";"";0;0;0;0;0;"";0;0;0;"";""
2020-10-29 06:32:09;1.86203385382755;1899-12-31 19:29:32;17295;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.949;"";"";"";"";"";"";"";"";"";"";-0.457656651735306;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:32:39;1.86238124332755;1899-12-31 19:30:02;17300;4070;"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.112;"";"";"";"";"";"";"";"";"";"";-0.436382651329041;"";"";305.35101342539;"";"";264.881773070506;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:33:09;1.86272863282639;1899-12-31 19:30:32;"";"";"";"";"";17.3846168299675;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.078;"";"";"";"";"";"";"";"";"";"";-0.623160421848297;"";"";305.401635518749;"";"";264.932395163866;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:33:39;1.86307602232523;1899-12-31 19:31:02;"";"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.97;"";"";"";"";"";"";"";"";"";"";-0.312902063131332;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:34:09;1.86342341182407;1899-12-31 19:31:32;"";"";"";"";30;17.3846168299675;12.1380907773972;12.0000002975464;12;6.0000005364418;6;0;0;6.0000005364418;6;"";"";"";"";"";"";"";"";"";"";"";"";0;0;"";"";999.912963867188;1000;0.887;23.961;"";"";"";"";"";"";8.80000019073486;"";"";"";"";30.0014762878418;30;305.501163702482;"";"";265.031923347599;15.4433822631836;"";"";"";"";"";40.4692403548833;"";"";"";21;21
2020-10-29 06:34:39;1.86377080132292;1899-12-31 19:32:02;"";"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.993;"";"";"";"";0;"";"";"";"";"";-0.481291055679321;"";"";305.551785796008;"";45.2184944152832;265.082545441125;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:35:09;1.86411819082176;1899-12-31 19:32:32;"";"";"";82.4670639038086;"";17.5753565832138;"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.115;"";"";"";"";"";8.76018047332764;"";"";"";"";-0.577641189098358;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:35:39;1.86446558032176;1899-12-31 19:33:02;17300;"";"";"";"";17.3846168299675;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.958;"";"";"";"";"";"";"";"";"";"";-0.414902478456497;"";"";305.651313979574;"";"";265.182073624691;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:36:09;1.8648129698206;1899-12-31 19:33:32;17295;"";0;"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";24.011;"";"";"";"";"";"";"";0;0;0;"";"";"";305.7019360731;2908.66187667847;"";265.232695718217;"";0;0;0;0;0;"";0;0;0;"";""
2020-10-29 06:36:39;1.86516035931944;1899-12-31 19:34:02;17295;"";"";"";"";17.3846168299675;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.061;"";"";"";"";"";"";"";"";"";"";-0.475588291883469;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:37:09;1.86550774881829;1899-12-31 19:34:32;17300;4070;"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.829;"";"";"";"";"";"";"";"";"";"";-0.252930253744125;"";"";305.801464256833;"";"";265.332223901949;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:37:39;1.86585513831713;1899-12-31 19:35:02;"";"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.86;"";"";"";"";"";"";"";"";"";"";-0.736679077148438;"";"";305.852086350192;"";"";265.382845995309;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:38:09;1.86620343059606;1899-12-31 19:35:33;"";"";"";"";"";17.5753565832138;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.877;"";"";"";"";"";"";"";"";"";"";-0.390064030885696;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:38:39;1.86655082009491;1899-12-31 19:36:03;"";"";"";"";30;17.3846168299675;12.1380907773972;12.0000002975464;12;6.0000005364418;6;0;0;6.0000005364418;6;"";"";"";"";"";"";"";"";"";"";"";"";0;0;"";"";1000.10479736328;1000;0.89;24.038;"";"";"";"";"";"";8.80000019073486;"";"";"";-0.377863466739655;30.0014762878418;30;305.951614533925;"";"";265.482374179041;15.4433822631836;"";"";"";"";"";40.4692403548833;"";"";"";21;21
2020-10-29 06:39:09;1.86689820959375;1899-12-31 19:36:33;"";"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.156;"";"";"";"";0;"";"";"";"";"";-0.247488811612129;"";"";306.002236627451;"";45.2184944152832;265.532996272568;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:39:39;1.86724559909259;1899-12-31 19:37:03;"";"";"";82.5728912353516;"";17.5753565832138;"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.044;"";"";"";"";"";8.75741672515869;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:40:09;1.86759298859259;1899-12-31 19:37:33;17300;"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.091;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:40:39;1.86794037809144;1899-12-31 19:38:03;17295;"";0;"";"";17.5753565832138;"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";24.06;"";"";"";"";"";"";"";0;0;0;"";"";"";306.151528902966;2908.66187667847;"";265.682288548083;"";0;0;0;0;0;"";0;0;0;"";""
2020-10-29 06:41:09;1.86828776759028;1899-12-31 19:38:33;17300;"";"";"";"";17.3846168299675;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.114;"";"";"";"";"";"";"";"";"";"";"";"";"";306.202150996326;"";"";265.732910641443;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:41:39;1.86863515708912;1899-12-31 19:39:03;17295;4070;"";"";"";17.5753565832138;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.003;"";"";"";"";"";"";"";"";"";"";-0.159985467791557;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:42:09;1.86898254658796;1899-12-31 19:39:33;17300;"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.889;24.011;"";"";"";"";"";"";"";"";"";"";-0.545753598213196;"";"";306.301679180058;"";"";265.832438825175;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:42:39;1.86932993608681;1899-12-31 19:40:03;17295;"";"";"";"";17.4391145288467;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.883;23.833;"";"";"";"";"";"";"";"";"";"";-0.441062569618225;"";"";306.352301273585;"";"";265.883060918701;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:43:09;1.86967732558681;1899-12-31 19:40:33;17295;"";"";"";30;17.4118649484634;12.1327551641464;12.0000002975464;12;6.0000005364418;6;0;0;6.0000005364418;6;"";"";"";"";"";"";"";"";"";"";"";"";0;0;"";"";999.807373046875;1000;"";23.999;"";"";"";"";"";"";8.80000019073486;"";"";"";-0.301500022411346;29.9953231811523;30;"";"";"";"";15.4433822631836;"";"";"";"";"";40.4692403548833;"";"";"";21;21
2020-10-29 06:43:39;1.87002471508565;1899-12-31 19:41:03;17300;"";"";"";"";17.4936107658386;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.107;"";"";"";"";0;"";"";"";"";"";-0.50095134973526;"";"";306.451829457317;"";45.2184944152832;265.982589102434;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:44:09;1.87037210458449;1899-12-31 19:41:33;17295;"";"";82.4082641601563;"";17.5481084647179;"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.148;"";"";"";"";"";8.75419330596924;"";"";"";"";-0.249858945608139;"";"";306.502451550677;"";"";266.033211195793;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:44:39;1.87071949408333;1899-12-31 19:42:03;17300;"";"";"";"";17.5753565832138;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.135;"";"";"";"";"";"";"";"";"";"";-0.600379824638367;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:45:09;1.87106688358218;1899-12-31 19:42:33;"";"";0;"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";23.979;"";"";"";"";"";"";"";0;0;0;-0.328205823898315;"";"";"";2908.66187667847;"";"";"";0;0;0;0;0;"";0;0;0;"";""
2020-10-29 06:45:39;1.87141427308102;1899-12-31 19:43:03;17300;"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.103;"";"";"";"";"";"";"";"";"";"";-0.417267650365829;"";"";306.651743826192;"";"";266.182503471309;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:46:09;1.87176166258102;1899-12-31 19:43:33;17295;4070;"";"";"";17.3846168299675;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.043;"";"";"";"";"";"";"";"";"";"";-0.223933577537537;"";"";306.702365919718;"";"";266.233125564835;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:46:39;1.87210905207986;1899-12-31 19:44:03;17300;"";"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.972;"";"";"";"";"";"";"";"";"";"";-0.542618453502655;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:47:09;1.8724564415787;1899-12-31 19:44:33;"";"";"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.89;24.036;"";"";"";"";"";"";"";"";"";"";-0.415630251169205;"";"";306.801894103451;"";"";266.332653748567;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:47:39;1.87280383107755;1899-12-31 19:45:03;"";"";"";"";30;17.4118649484634;12.1327551641464;12.0000002975464;12;6.0000005364418;6;0;0;6.0000005364418;6;"";"";"";"";"";"";"";"";"";"";"";"";0;0;"";"";999.83984375;1000;"";24.019;"";"";"";"";"";"";8.80000019073486;"";"";"";-0.744830727577209;30.0076313018799;30;306.85251619681;"";"";266.383275841927;15.4433822631836;"";"";"";"";"";40.4692403548833;"";"";"";21;21
2020-10-29 06:48:09;1.87315122057639;1899-12-31 19:45:33;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.023;"";"";"";"";0;"";"";"";"";"";-0.338613897562027;"";"";"";"";45.2184944152832;"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:48:39;1.87349861007639;1899-12-31 19:46:03;"";"";"";82.4905776977539;"";17.4118649484634;"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.887;"";"";"";"";"";8.75142955780029;"";"";"";"";-0.638061165809631;"";"";306.952044380543;"";"";266.482804025659;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:49:09;1.87384599957523;1899-12-31 19:46:33;"";"";"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.988;"";"";"";"";"";"";"";"";"";"";-0.670396506786346;"";"";307.002666474069;"";"";266.533426119186;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:49:39;1.87419338907407;1899-12-31 19:47:03;"";"";0;"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";24.042;"";"";"";"";"";"";"";0;0;0;-0.159845113754272;"";"";"";2908.66187667847;"";"";"";0;0;0;0;0;"";0;0;0;"";""
2020-10-29 06:50:09;1.87454077857292;1899-12-31 19:47:33;"";"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.074;"";"";"";"";"";"";"";"";"";"";"";"";"";307.102194657801;"";"";266.632954302918;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:50:39;1.87488816807176;1899-12-31 19:48:03;17300;4070;"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.049;"";"";"";"";"";"";"";"";"";"";"";"";"";307.152816751161;"";"";266.683576396278;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:51:09;1.8752355575706;1899-12-31 19:48:33;17295;"";"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.086;"";"";"";"";0;"";"";"";"";"";-0.183002382516861;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:51:39;1.8755829470706;1899-12-31 19:49:03;17300;"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.889;24.003;"";"";"";"";25.2060890197754;8.75004768371582;"";"";"";"";0.0666489377617836;"";"";"";2908.66187667847;"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:52:09;1.87593033656944;1899-12-31 19:49:33;"";"";"";"";30;17.3573672495842;12.1327551641464;12.0000002975464;12;6.0000005364418;6;0;0;6.0000005364418;6;"";"";"";"";"";"";"";"";"";"";"";"";0;0;"";"";1000.02630615234;1000;"";24.025;"";"";"";"";0;8.81636810302734;8.80000019073486;"";"";"";-0.248839274048805;29.9953231811523;30;307.302109026676;2908.84354305267;"";266.832868671793;15.6250486373901;"";"";"";"";"";40.4692403548833;"";"";"";21;21
2020-10-29 06:52:39;1.87627772606829;1899-12-31 19:50:03;17300;"";"";"";"";17.275621432209;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.09;"";"";"";"";"";"";"";"";"";"";-0.41881737112999;"";"";307.352731120203;"";45.2184944152832;266.883490765319;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:53:09;1.87662511556713;1899-12-31 19:50:33;17295;"";"";82.5258560180664;"";17.5753565832138;"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.171;"";"";"";"";"";"";"";"";"";"";-0.450346261262894;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:53:39;1.87697250506597;1899-12-31 19:51:03;17300;"";"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.146;"";"";"";"";"";"";"";"";"";"";-0.302024006843567;"";"";307.452259303935;"";"";266.983018949052;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:54:09;1.87731989456481;1899-12-31 19:51:33;"";"";0;"";"";17.2483733137131;"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";24.111;"";"";"";"";"";"";"";0;0;0;-0.170115172863007;"";"";307.502881397295;"";"";267.033641042411;"";0;0;0;0;0;"";0;0;0;"";""
2020-10-29 06:54:39;1.87766728406481;1899-12-31 19:52:03;"";"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.991;"";"";"";"";"";"";"";"";"";"";-0.741475403308868;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:55:09;1.87801467356366;1899-12-31 19:52:33;"";4070;"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";23.979;"";"";"";"";"";"";"";"";"";"";-0.318460762500763;"";"";307.602409581027;"";"";267.133169226144;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:55:39;1.8783620630625;1899-12-31 19:53:03;"";"";"";"";"";17.3846168299675;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.118;"";"";"";"";"";"";"";"";"";"";"";"";"";307.653031674387;"";"";267.183791319503;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:56:09;1.87870945256134;1899-12-31 19:53:33;"";"";"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.891;24.061;"";"";"";"";"";"";"";"";"";"";-0.349163413047791;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:56:39;1.87905684206019;1899-12-31 19:54:03;"";"";"";"";30;17.3573672495842;12.1380907773972;12.0000002975464;12;6.0000005364418;6;0;0;6.0000005364418;6;"";"";"";"";"";"";"";"";"";"";"";"";0;0;"";"";999.992614746094;1000;"";24.171;"";"";"";"";0;8.82051372528076;8.80000019073486;"";"";"";-0.651767730712891;30.0014762878418;30;"";2908.84354305267;"";"";15.6250486373901;"";"";"";"";"";40.4692403548833;"";"";"";21;21
2020-10-29 06:57:09;1.87940423156019;1899-12-31 19:54:33;"";"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.15;"";"";"";"";"";"";"";"";"";"";-0.670359969139099;"";"";307.802323950069;"";45.2184944152832;267.333083595185;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:57:39;1.87975162105903;1899-12-31 19:55:03;"";"";"";82.4670639038086;"";17.657102400589;"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.086;"";"";"";"";"";"";"";"";"";"";-0.548349022865295;"";"";307.852946043428;"";"";267.383705688545;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:58:10;1.88009901055787;1899-12-31 19:55:33;17300;"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.111;"";"";"";"";"";"";"";"";"";"";-0.297080218791962;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:58:40;1.88044640005671;1899-12-31 19:56:03;"";"";0;"";"";17.1393793778419;"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";24.229;"";"";"";"";"";"";"";0;0;0;-0.484363377094269;"";"";307.952474227161;"";"";267.483233872278;"";0;0;0;0;0;"";0;0;0;"";""
2020-10-29 06:59:10;1.88079378955556;1899-12-31 19:56:33;"";"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.119;"";"";"";"";"";"";"";"";"";"";-0.335000306367874;"";"";308.003096320687;"";"";267.533855965804;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 06:59:40;1.8811411790544;1899-12-31 19:57:03;"";4070;"";"";"";17.5753565832138;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.157;"";"";"";"";"";"";"";"";"";"";-0.147938966751099;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-29 07:00:10;1.8814885685544;1899-12-31 19:57:33;"";"";"";"";"";17.4118649484634;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";24.2;"";"";"";"";"";"";"";"";"";"";0.0619589164853096;"";"";308.102624504253;"";"";267.63338414937;"";"";"";"";"";"";"";"";"";"";"";""
